protocol,num_uavs,seed,attempted,delivered,pdr,avg_latency_ms,avg_hops,throughput_pps,topology_changes_per_s,avg_link_lifetime_s,control_packets_per_s,route_discoveries,route_failures,stale_route_failures
shortest_path_oracle,5,2111,600,195,0.325,14.995484649447782,1.2153846153846153,1.625,0.125,43.0,0.0,0,0,0
shortest_path_oracle,5,3111,600,171,0.285,14.515719633903958,1.128654970760234,1.425,0.16666666666666666,36.375,0.0,0,0,0
shortest_path_oracle,5,4111,600,68,0.11333333333333333,14.006938349629486,1.0294117647058822,0.5666666666666667,0.075,19.166666666666668,0.0,0,0,0
shortest_path_oracle,5,5111,600,75,0.125,14.092183862388751,1,0.625,0.08333333333333333,27.2,0.0,0,0,0
shortest_path_oracle,5,6111,600,106,0.17666666666666667,14.881417485859336,1.1603773584905661,0.8833333333333333,0.16666666666666666,21.5,0.0,0,0,0
shortest_path_oracle,5,7111,600,74,0.12333333333333334,14.246995960384554,1.054054054054054,0.6166666666666667,0.075,34.8,0.0,0,0,0
shortest_path_oracle,5,8111,600,130,0.21666666666666667,15.13959396394804,1.2461538461538462,1.0833333333333333,0.15833333333333333,22.77777777777778,0.0,0,0,0
shortest_path_oracle,5,9111,600,169,0.2816666666666667,15.29203905020606,1.2899408284023668,1.4083333333333334,0.175,27.77777777777778,0.0,0,0,0
shortest_path_oracle,5,10111,600,224,0.37333333333333335,15.08206338301396,1.2589285714285714,1.8666666666666667,0.26666666666666666,43.625,0.0,0,0,0
shortest_path_oracle,5,11111,600,83,0.13833333333333334,15.658131207119148,1.3614457831325302,0.6916666666666667,0.1,20.0,0.0,0,0,0
shortest_path_oracle,5,12111,600,87,0.145,14.816199794201195,1.1839080459770115,0.725,0.1,31.8,0.0,0,0,0
shortest_path_oracle,5,13111,600,119,0.19833333333333333,14.547819289946247,1.1428571428571428,0.9916666666666667,0.10833333333333334,50.75,0.0,0,0,0
shortest_path_oracle,5,14111,600,64,0.10666666666666667,14.538677494162213,1.125,0.5333333333333333,0.15833333333333333,16.571428571428573,0.0,0,0,0
shortest_path_oracle,5,15111,600,189,0.315,15.68687319553209,1.3650793650793651,1.575,0.21666666666666667,31.555555555555557,0.0,0,0,0
shortest_path_oracle,5,16111,600,132,0.22,15.465716753688815,1.3484848484848484,1.1,0.1,31.0,0.0,0,0,0
shortest_path_oracle,5,17111,600,139,0.23166666666666666,14.789997256457058,1.1798561151079137,1.1583333333333334,0.15,33.125,0.0,0,0,0
shortest_path_oracle,5,18111,600,112,0.18666666666666668,15.183092354662007,1.2678571428571428,0.9333333333333333,0.08333333333333333,33.2,0.0,0,0,0
shortest_path_oracle,5,19111,600,87,0.145,14.80334697862671,1.160919540229885,0.725,0.125,24.857142857142858,0.0,0,0,0
shortest_path_oracle,5,20111,600,77,0.12833333333333333,14.86566557198917,1.1948051948051948,0.6416666666666667,0.1,17.0,0.0,0,0,0
shortest_path_oracle,5,21111,600,107,0.17833333333333334,14.196388590059831,1.0467289719626167,0.8916666666666667,0.1,32.333333333333336,0.0,0,0,0
shortest_path_oracle,5,22111,600,164,0.2733333333333333,14.55835570029572,1.1341463414634145,1.3666666666666667,0.13333333333333333,33.125,0.0,0,0,0
shortest_path_oracle,5,23111,600,88,0.14666666666666667,14.480451245547304,1.1022727272727273,0.7333333333333333,0.09166666666666666,27.166666666666668,0.0,0,0,0
shortest_path_oracle,5,24111,600,111,0.185,14.487416521742965,1.1261261261261262,0.925,0.09166666666666666,27.5,0.0,0,0,0
shortest_path_oracle,5,25111,600,166,0.27666666666666667,15.543058857691175,1.3674698795180722,1.3833333333333333,0.14166666666666666,28.22222222222222,0.0,0,0,0
shortest_path_oracle,5,26111,600,112,0.18666666666666668,14.294728396790688,1.0892857142857142,0.9333333333333333,0.09166666666666666,31.0,0.0,0,0,0
shortest_path_oracle,5,27111,600,130,0.21666666666666667,14.83233492200822,1.1846153846153846,1.0833333333333333,0.16666666666666666,27.875,0.0,0,0,0
shortest_path_oracle,5,28111,600,45,0.075,14.16336377214294,1.0444444444444445,0.375,0.1,21.0,0.0,0,0,0
shortest_path_oracle,5,29111,600,129,0.215,14.928081867413828,1.2325581395348837,1.075,0.15,28.571428571428573,0.0,0,0,0
shortest_path_oracle,5,30111,600,226,0.37666666666666665,15.07590165123879,1.2212389380530972,1.8833333333333333,0.19166666666666668,38.333333333333336,0.0,0,0,0
shortest_path_oracle,5,31111,600,126,0.21,15.512906608609807,1.3253968253968254,1.05,0.11666666666666667,31.666666666666668,0.0,0,0,0
aodv_like_reactive,5,2111,600,195,0.325,17.6659974699606,1.2615384615384615,1.625,0.125,43.0,18.916666666666668,444,38,0
aodv_like_reactive,5,3111,600,171,0.285,17.51513483858232,1.1871345029239766,1.425,0.16666666666666666,36.375,19.858333333333334,467,34,0
aodv_like_reactive,5,4111,600,68,0.11333333333333333,16.72090893786478,1.0294117647058822,0.5666666666666667,0.075,19.166666666666668,22.925,547,12,0
aodv_like_reactive,5,5111,600,75,0.125,16.38818386238875,1,0.625,0.08333333333333333,27.2,22.575,539,12,0
aodv_like_reactive,5,6111,600,106,0.17666666666666667,17.78471937265179,1.1603773584905661,0.8833333333333333,0.16666666666666666,21.5,21.875,519,23,0
aodv_like_reactive,5,7111,600,74,0.12333333333333334,17.48348244687104,1.1081081081081081,0.6166666666666667,0.075,34.8,22.833333333333332,544,17,0
aodv_like_reactive,5,8111,600,130,0.21666666666666667,17.79190165625573,1.2461538461538462,1.0833333333333333,0.15833333333333333,22.77777777777778,21.05,498,27,0
aodv_like_reactive,5,9111,600,169,0.2816666666666667,18.761565677424997,1.3964497041420119,1.4083333333333334,0.175,27.77777777777778,20.183333333333334,472,31,0
aodv_like_reactive,5,10111,600,224,0.37333333333333335,18.29768838301396,1.3258928571428572,1.8666666666666667,0.26666666666666666,43.625,18.466666666666665,429,51,0
aodv_like_reactive,5,11111,600,83,0.13833333333333334,18.626203496275775,1.3614457831325302,0.6916666666666667,0.1,20.0,22.6,537,20,0
aodv_like_reactive,5,12111,600,87,0.145,17.92999289764947,1.1839080459770115,0.725,0.1,31.8,22.525,535,22,0
aodv_like_reactive,5,13111,600,119,0.19833333333333333,17.237315088265575,1.1428571428571428,0.9916666666666667,0.10833333333333334,50.75,21.383333333333333,507,25,0
aodv_like_reactive,5,14111,600,64,0.10666666666666667,18.263677494162213,1.140625,0.5333333333333333,0.15833333333333333,16.571428571428573,23.316666666666666,555,19,0
aodv_like_reactive,5,15111,600,189,0.315,19.204068962727856,1.4656084656084656,1.575,0.21666666666666667,31.555555555555557,19.666666666666668,458,47,0
aodv_like_reactive,5,16111,600,132,0.22,18.274807662779722,1.371212121212121,1.1,0.1,31.0,21.05,497,29,0
aodv_like_reactive,5,17111,600,139,0.23166666666666666,18.075608767248426,1.2014388489208634,1.1583333333333334,0.15,33.125,21.075,497,34,0
aodv_like_reactive,5,18111,600,112,0.18666666666666668,18.122824497519147,1.2857142857142858,0.9333333333333333,0.08333333333333333,33.2,21.708333333333332,514,24,0
aodv_like_reactive,5,19111,600,87,0.145,18.199898702764642,1.160919540229885,0.725,0.125,24.857142857142858,22.625,537,23,0
aodv_like_reactive,5,20111,600,77,0.12833333333333333,17.585146091469692,1.1948051948051948,0.6416666666666667,0.1,17.0,22.691666666666666,540,15,0
aodv_like_reactive,5,21111,600,107,0.17833333333333334,16.979098870433663,1.102803738317757,0.8916666666666667,0.1,32.333333333333336,21.666666666666668,515,20,0
aodv_like_reactive,5,22111,600,164,0.2733333333333333,17.260794724685965,1.1341463414634145,1.3666666666666667,0.13333333333333333,33.125,20.033333333333335,472,34,0
aodv_like_reactive,5,23111,600,88,0.14666666666666667,17.57022397282003,1.1363636363636365,0.7333333333333333,0.09166666666666666,27.166666666666668,22.4,533,19,0
aodv_like_reactive,5,24111,600,111,0.185,17.02930841363486,1.1981981981981982,0.925,0.09166666666666666,27.5,21.4,509,19,0
aodv_like_reactive,5,25111,600,166,0.27666666666666667,18.54064921913696,1.4397590361445782,1.3833333333333333,0.14166666666666666,28.22222222222222,20.016666666666666,470,33,0
aodv_like_reactive,5,26111,600,112,0.18666666666666668,17.08178196821926,1.0982142857142858,0.9333333333333333,0.09166666666666666,31.0,21.608333333333334,513,22,0
aodv_like_reactive,5,27111,600,130,0.21666666666666667,17.673488768162066,1.1846153846153846,1.0833333333333333,0.16666666666666666,27.875,21.141666666666666,500,27,0
aodv_like_reactive,5,28111,600,45,0.075,17.444474883254053,1.0444444444444445,0.375,0.1,21.0,23.733333333333334,567,10,0
aodv_like_reactive,5,29111,600,129,0.215,18.3838958209022,1.2790697674418605,1.075,0.15,28.571428571428573,21.425,505,32,0
aodv_like_reactive,5,30111,600,226,0.37666666666666665,17.965060943274185,1.2699115044247788,1.8833333333333333,0.19166666666666668,38.333333333333336,18.158333333333335,423,43,0
aodv_like_reactive,5,31111,600,126,0.21,18.393462164165364,1.3571428571428572,1.05,0.11666666666666667,31.666666666666668,21.241666666666667,502,28,0
olsr_like_proactive,5,2111,600,195,0.325,15.087023110986243,1.2256410256410257,1.625,0.125,43.0,5.016666666666667,0,1,1
olsr_like_proactive,5,3111,600,164,0.2733333333333333,14.48956087684462,1.1158536585365855,1.3666666666666667,0.16666666666666666,36.375,4.9,0,1,1
olsr_like_proactive,5,4111,600,67,0.11166666666666666,13.969475613725436,1.0149253731343284,0.5583333333333333,0.075,19.166666666666668,3.433333333333333,0,0,0
olsr_like_proactive,5,5111,600,71,0.11833333333333333,14.124118279253029,1,0.5916666666666667,0.08333333333333333,27.2,3.6166666666666667,0,1,1
olsr_like_proactive,5,6111,600,105,0.175,14.894673962532515,1.1523809523809523,0.875,0.16666666666666666,21.5,3.9166666666666665,0,2,2
olsr_like_proactive,5,7111,600,77,0.12833333333333333,14.37690800587636,1.077922077922078,0.6416666666666667,0.075,34.8,3.95,0,4,4
olsr_like_proactive,5,8111,600,128,0.21333333333333335,15.128616452202909,1.234375,1.0666666666666667,0.15833333333333333,22.77777777777778,4.216666666666667,0,4,4
olsr_like_proactive,5,9111,600,165,0.275,15.403671821983503,1.2969696969696969,1.375,0.175,27.77777777777778,4.55,0,5,5
olsr_like_proactive,5,10111,600,221,0.36833333333333335,15.089098062559705,1.248868778280543,1.8416666666666666,0.26666666666666666,43.625,5.383333333333334,0,1,1
olsr_like_proactive,5,11111,600,80,0.13333333333333333,15.651847305121551,1.35,0.6666666666666666,0.1,20.0,3.5,0,3,3
olsr_like_proactive,5,12111,600,83,0.13833333333333334,14.872618110647858,1.180722891566265,0.6916666666666667,0.1,31.8,3.8,0,1,1
olsr_like_proactive,5,13111,600,118,0.19666666666666666,14.603603747134237,1.1440677966101696,0.9833333333333333,0.10833333333333334,50.75,4.2,0,2,2
olsr_like_proactive,5,14111,600,61,0.10166666666666667,14.54315007226158,1.1147540983606556,0.5083333333333333,0.15833333333333333,16.571428571428573,3.45,0,5,5
olsr_like_proactive,5,15111,600,186,0.31,15.676121318360929,1.3494623655913978,1.55,0.21666666666666667,31.555555555555557,4.866666666666666,0,2,2
olsr_like_proactive,5,16111,600,130,0.21666666666666667,15.438306367028117,1.3307692307692307,1.0833333333333333,0.1,31.0,4.05,0,1,1
olsr_like_proactive,5,17111,600,134,0.22333333333333333,14.814144363613877,1.164179104477612,1.1166666666666667,0.15,33.125,4.716666666666667,0,4,4
olsr_like_proactive,5,18111,600,112,0.18666666666666668,15.213895926090578,1.2678571428571428,0.9333333333333333,0.08333333333333333,33.2,3.8666666666666667,0,1,1
olsr_like_proactive,5,19111,600,83,0.13833333333333334,14.83311522102277,1.1686746987951808,0.6916666666666667,0.125,24.857142857142858,3.95,0,1,1
olsr_like_proactive,5,20111,600,76,0.12666666666666668,14.855353169672766,1.1842105263157894,0.6333333333333333,0.1,17.0,3.4833333333333334,0,5,5
olsr_like_proactive,5,21111,600,107,0.17833333333333334,14.240899600428685,1.0467289719626167,0.8916666666666667,0.1,32.333333333333336,4.133333333333334,0,1,1
olsr_like_proactive,5,22111,600,161,0.2683333333333333,14.531188899526242,1.1180124223602483,1.3416666666666666,0.13333333333333333,33.125,4.733333333333333,0,2,2
olsr_like_proactive,5,23111,600,86,0.14333333333333334,14.574826057029071,1.1046511627906976,0.7166666666666667,0.09166666666666666,27.166666666666668,3.8333333333333335,0,1,1
olsr_like_proactive,5,24111,600,107,0.17833333333333334,14.423090379734576,1.102803738317757,0.8916666666666667,0.09166666666666666,27.5,3.8666666666666667,0,4,4
olsr_like_proactive,5,25111,600,164,0.2733333333333333,15.600061356605519,1.3780487804878048,1.3666666666666667,0.14166666666666666,28.22222222222222,4.583333333333333,0,5,5
olsr_like_proactive,5,26111,600,112,0.18666666666666668,14.346514111076402,1.0892857142857142,0.9333333333333333,0.09166666666666666,31.0,4.066666666666666,0,1,1
olsr_like_proactive,5,27111,600,126,0.21,14.949836534095176,1.2063492063492063,1.05,0.16666666666666666,27.875,4.333333333333333,0,4,4
olsr_like_proactive,5,28111,600,45,0.075,14.224474883254052,1.0444444444444445,0.375,0.1,21.0,3.3666666666666667,0,0,0
olsr_like_proactive,5,29111,600,125,0.20833333333333334,15.02240266936295,1.24,1.0416666666666667,0.15,28.571428571428573,4.133333333333334,0,3,3
olsr_like_proactive,5,30111,600,218,0.36333333333333334,15.074316261784773,1.2110091743119267,1.8166666666666667,0.19166666666666668,38.333333333333336,5.35,0,4,4
olsr_like_proactive,5,31111,600,123,0.205,15.528598922557764,1.3170731707317074,1.025,0.11666666666666667,31.666666666666668,4.1,0,7,7
greedy_geographic,5,2111,600,195,0.325,14.995484649447782,1.2153846153846153,1.625,0.125,43.0,0.0,0,96,0
greedy_geographic,5,3111,600,171,0.285,14.515719633903958,1.128654970760234,1.425,0.16666666666666666,36.375,0.0,0,146,0
greedy_geographic,5,4111,600,68,0.11333333333333333,14.006938349629486,1.0294117647058822,0.5666666666666667,0.075,19.166666666666668,0.0,0,73,0
greedy_geographic,5,5111,600,75,0.125,14.092183862388751,1,0.625,0.08333333333333333,27.2,0.0,0,109,0
greedy_geographic,5,6111,600,106,0.17666666666666667,14.881417485859336,1.1603773584905661,0.8833333333333333,0.16666666666666666,21.5,0.0,0,109,0
greedy_geographic,5,7111,600,74,0.12333333333333334,14.246995960384554,1.054054054054054,0.6166666666666667,0.075,34.8,0.0,0,112,0
greedy_geographic,5,8111,600,130,0.21666666666666667,15.13959396394804,1.2461538461538462,1.0833333333333333,0.15833333333333333,22.77777777777778,0.0,0,111,0
greedy_geographic,5,9111,600,169,0.2816666666666667,15.29203905020606,1.2899408284023668,1.4083333333333334,0.175,27.77777777777778,0.0,0,109,0
greedy_geographic,5,10111,600,223,0.37166666666666665,15.03485552264928,1.2466367713004485,1.8583333333333334,0.26666666666666666,43.625,0.0,0,101,0
greedy_geographic,5,11111,600,83,0.13833333333333334,15.658131207119148,1.3614457831325302,0.6916666666666667,0.1,20.0,0.0,0,46,0
greedy_geographic,5,12111,600,87,0.145,14.816199794201195,1.1839080459770115,0.725,0.1,31.8,0.0,0,114,0
greedy_geographic,5,13111,600,119,0.19833333333333333,14.547819289946247,1.1428571428571428,0.9916666666666667,0.10833333333333334,50.75,0.0,0,136,0
greedy_geographic,5,14111,600,64,0.10666666666666667,14.538677494162213,1.125,0.5333333333333333,0.15833333333333333,16.571428571428573,0.0,0,66,0
greedy_geographic,5,15111,600,188,0.31333333333333335,15.643982692916625,1.3563829787234043,1.5666666666666667,0.21666666666666667,31.555555555555557,0.0,0,83,0
greedy_geographic,5,16111,600,132,0.22,15.465716753688815,1.3484848484848484,1.1,0.1,31.0,0.0,0,75,0
greedy_geographic,5,17111,600,139,0.23166666666666666,14.789997256457058,1.1798561151079137,1.1583333333333334,0.15,33.125,0.0,0,83,0
greedy_geographic,5,18111,600,112,0.18666666666666668,15.183092354662007,1.2678571428571428,0.9333333333333333,0.08333333333333333,33.2,0.0,0,83,0
greedy_geographic,5,19111,600,87,0.145,14.80334697862671,1.160919540229885,0.725,0.125,24.857142857142858,0.0,0,106,0
greedy_geographic,5,20111,600,77,0.12833333333333333,14.86566557198917,1.1948051948051948,0.6416666666666667,0.1,17.0,0.0,0,72,0
greedy_geographic,5,21111,600,107,0.17833333333333334,14.196388590059831,1.0467289719626167,0.8916666666666667,0.1,32.333333333333336,0.0,0,144,0
greedy_geographic,5,22111,600,164,0.2733333333333333,14.55835570029572,1.1341463414634145,1.3666666666666667,0.13333333333333333,33.125,0.0,0,139,0
greedy_geographic,5,23111,600,88,0.14666666666666667,14.480451245547304,1.1022727272727273,0.7333333333333333,0.09166666666666666,27.166666666666668,0.0,0,99,0
greedy_geographic,5,24111,600,111,0.185,14.487416521742965,1.1261261261261262,0.925,0.09166666666666666,27.5,0.0,0,98,0
greedy_geographic,5,25111,600,166,0.27666666666666667,15.543058857691175,1.3674698795180722,1.3833333333333333,0.14166666666666666,28.22222222222222,0.0,0,84,0
greedy_geographic,5,26111,600,112,0.18666666666666668,14.294728396790688,1.0892857142857142,0.9333333333333333,0.09166666666666666,31.0,0.0,0,95,0
greedy_geographic,5,27111,600,130,0.21666666666666667,14.83233492200822,1.1846153846153846,1.0833333333333333,0.16666666666666666,27.875,0.0,0,123,0
greedy_geographic,5,28111,600,45,0.075,14.16336377214294,1.0444444444444445,0.375,0.1,21.0,0.0,0,78,0
greedy_geographic,5,29111,600,128,0.21333333333333335,14.861816187102562,1.21875,1.0666666666666667,0.15,28.571428571428573,0.0,0,79,0
greedy_geographic,5,30111,600,226,0.37666666666666665,15.07590165123879,1.2212389380530972,1.8833333333333333,0.19166666666666668,38.333333333333336,0.0,0,119,0
greedy_geographic,5,31111,600,124,0.20666666666666667,15.380611975306627,1.2983870967741935,1.0333333333333334,0.11666666666666667,31.666666666666668,0.0,0,96,0
shortest_path_oracle,10,2196,600,85,0.14166666666666666,16.045851036039693,1.4705882352941178,0.7083333333333334,0.4,24.4,0.0,0,0,0
shortest_path_oracle,10,3196,600,128,0.21333333333333335,16.398976711309103,1.5546875,1.0666666666666667,0.6,23.838709677419356,0.0,0,0,0
shortest_path_oracle,10,4196,600,141,0.235,16.459782955537545,1.5390070921985815,1.175,0.5083333333333333,26.444444444444443,0.0,0,0,0
